Type of catalyst,Catalyst,Si/Al,"M/Al (ie Sn, Cu..)",Lewis/Brosnted _acid_Sites,Surface_area_(m2/g)_BET,max_diameter_sphere_diffusing(A),Accessible_Volume(A^3),Avg_pore_diameter(nm),V(pore)_(cm3/g),V(mic)_(cm3/g),V(mesopore)_(cm3/g),TPD_(NH3)_(micmol/g),Mass_Cat_(g),Volume_(ml),Substrate_amount,catalyst_substrate_loading,Solvent_system,Phase_1,Phase_2,phase_2/phase_1,Total_dipole_moment(D),Temperature ( °C),Time (min),Fructose Conversion,HMF Selectivity,HMF Yield,time_rate(min),intial concentration(M),Conversion_rate ,Selectivity_rate ,initial_rate(mol/(L.min)),rate_constant(1/min),b ,normalized_constant
hierarchical Zeolite,H-USY,2.6,0,N/A,925,7.35,3953,0.74,0.352,0.31328,0.03872,1603,0.2,10,0.5,0.4,Biphasic ,Water,acetone ,1,2.365,160,20,39,28.7,11.2,20,0.277531083,39,28.7,0.001553203,0.0055965,0.000925926,6.04
hierarchical Zeolite,USY (modified) *,40,0,N/A,780,7.35,3953,0.74,0.352,0.15488,0.19712,316,0.2,10,0.5,0.4,Biphasic ,Water,acetone ,1,2.365,160,20,23.6,47.6,11.2,20,0.277531083,23.6,47.6,0.001558837,0.0056168,8.13E-05,69.09
hierarchical Zeolite,H-ZSM-5,11.5,0,N/A,425,4.7,511,0.55,0.178,0.10502,0.07298,747,0.2,10,0.5,0.4,Biphasic ,Water,GVL,1,3.575,160,20,26.2,55.4,14.5,20,0.277531083,26.2,55.4,0.002014154,0.0072574,0.000266667,27.22
hierarchical Zeolite,H-BEA,12.5,0,N/A,680,5.95,856.5,0.67,0.485,0.17945,0.30555,677,0.2,10,0.5,0.4,Biphasic ,Water,GVL,1,3.575,160,20,34.1,36.1,12.3,20,0.277531083,34.1,36.1,0.001708218,0.00615505,0.000246914,24.93
hierarchical Zeolite,H-USY,2.6,0,N/A,925,7.35,3953,0.74,0.352,0.31328,0.03872,1603,0.2,10,0.5,0.4,Biphasic ,Water,GVL,1,3.575,160,20,56.3,37.3,21,20,0.277531083,56.3,37.3,0.002914063,0.01049995,0.000925926,11.34
hierarchical Zeolite,USY (modified) *,40,0,N/A,780,7.35,3953,0.74,0.352,0.15488,0.19712,316,0.2,10,0.5,0.4,Biphasic ,Water,GVL,1,3.575,160,20,32.8,55.2,18.1,20,0.277531083,32.8,55.2,0.002512433,0.0090528,8.13E-05,111.35
hierarchical Zeolite,H-ZSM-5,11.5,0,N/A,425,4.7,511,0.55,0.178,0.10502,0.07298,747,0.2,10,0.5,0.4,Biphasic ,Water,PC ,1,3.425,160,20,27.8,34.7,9.6,20,0.277531083,27.8,34.7,0.001338616,0.0048233,0.000266667,18.09
hierarchical Zeolite,H-BEA,12.5,0,N/A,680,5.95,856.5,0.67,0.485,0.17945,0.30555,677,0.2,10,0.5,0.4,Biphasic ,Water,PC ,1,3.425,160,20,36.4,19.2,7,20,0.277531083,36.4,19.2,0.000969805,0.0034944,0.000246914,14.15
hierarchical Zeolite,H-USY,2.6,0,N/A,925,7.35,3953,0.74,0.352,0.31328,0.03872,1603,0.2,10,0.5,0.4,Biphasic ,Water,PC ,1,3.425,160,20,59.4,30.4,18.1,20,0.277531083,59.4,30.4,0.002505773,0.0090288,0.000925926,9.75
hierarchical Zeolite,USY (modified) *,40,0,N/A,780,7.35,3953,0.74,0.352,0.15488,0.19712,316,0.2,10,0.5,0.4,Biphasic ,Water,PC ,1,3.425,160,20,61.2,40,24.5,20,0.277531083,61.2,40,0.00339698,0.01224,8.13E-05,150.55
hierarchical Zeolite,ZSM-5 (modified) *,31,0,N/A,331,4.7,511,0.55,0.178,0.09078,0.08722,123,0.2,10,0.5,0.4,Single Phase,Water,N/A,0,1.85,160,20,10.5,22.85714286,2.4,20,0.277531083,10.5,22.85714286,0.000333037,0.0012,0.000104167,11.52
hierarchical Zeolite,ZSM-5 (modified) *,26,0,N/A,324,4.7,511,0.55,0.178,0.1157,0.0623,434,0.2,10,0.5,0.4,Single Phase,Water,N/A,0,1.85,160,20,24.6,12.19512195,3,20,0.277531083,24.6,12.19512195,0.000416297,0.0015,0.000123457,12.15
hierarchical Zeolite,ZSM-5 (modified) *,26,0,N/A,308,4.7,511,0.55,0.178,0.12282,0.05518,549,0.2,10,0.5,0.4,Single Phase,Water,N/A,0,1.85,160,20,22.4,12.94642857,2.9,20,0.277531083,22.4,12.94642857,0.00040242,0.00145,0.000123457,11.75
hierarchical Zeolite,ZSM-5 (modified) *,28,0,N/A,299,4.7,511,0.55,0.178,0.09968,0.07832,537,0.2,10,0.5,0.4,Single Phase,Water,N/A,0,1.85,160,20,28.9,14.53287197,4.2,20,0.277531083,28.9,14.53287197,0.000582815,0.0021,0.000114943,18.27
Protonated Zeolite,H-BEA,15,0,N/A,N/A,5.95,856.5,0.67,N/A,N/A,N/A,N/A,1,210,3.5,0.285714286,Biphasic ,Water,MIBK,5,2.641666667,165,60,85,40,34,30,0.092510361,75,44,0.001017614,0.011,0.001041667,10.56
Protonated Zeolite,H-ZSM-5,25,0,N/A,N/A,4.7,511,0.55,N/A,N/A,N/A,N/A,1,210,3.5,0.285714286,Biphasic ,Water,MIBK,5,2.641666667,165,60,90,59,53.1,30,0.092510361,82,56,0.001416025,0.015306667,0.000641026,23.88
Protonated Zeolite,H-USY,2.6,0,N/A,N/A,7.35,3953,0.74,N/A,N/A,N/A,N/A,1,210,3.5,0.285714286,Biphasic ,Water,MIBK,5,2.641666667,165,60,68,29,19.72,30,0.092510361,47,38,0.000550745,0.005953333,0.00462963,1.29
Protonated Zeolite,H-USY,10,0,N/A,N/A,7.35,3953,0.74,N/A,N/A,N/A,N/A,1,210,3.5,0.285714286,Biphasic ,Water,MIBK,5,2.641666667,165,60,74,56,41.44,30,0.092510361,60,70,0.001295145,0.014,0.001515152,9.24
Protonated Zeolite,H-USY,15,0,N/A,N/A,7.35,3953,0.74,N/A,N/A,N/A,N/A,1,210,3.5,0.285714286,Biphasic ,Water,MIBK,5,2.641666667,165,60,76,53,40.28,30,0.092510361,57,54,0.000949156,0.01026,0.001041667,9.85
Protonated Zeolite,H-MOR,6.9,0,N/A,N/A,6.45,347,0.59,N/A,N/A,N/A,N/A,1,210,3.5,0.285714286,Biphasic ,Water,MIBK,5,2.641666667,165,60,65,81,52.65,30,0.092510361,35,97,0.001046909,0.011316667,0.002109705,5.36
Protonated Zeolite,H-MOR,7.5,0,N/A,N/A,6.45,347,0.59,N/A,N/A,N/A,N/A,1,210,3.5,0.285714286,Biphasic ,Water,MIBK,5,2.641666667,165,60,57,77,43.89,30,0.092510361,36,96,0.001065719,0.01152,0.001960784,5.88
Protonated Zeolite,H-MOR,11,0,N/A,N/A,6.45,347,0.59,N/A,N/A,N/A,N/A,1,210,3.5,0.285714286,Biphasic ,Water,MIBK,5,2.641666667,165,60,76,91,69.16,30,0.092510361,54,92,0.001531972,0.01656,0.001388889,11.92
Protonated Zeolite,H-MOR,49,0,N/A,N/A,6.45,347,0.62,N/A,N/A,N/A,N/A,1,210,3.5,0.285714286,Biphasic ,Water,MIBK,5,2.641666667,165,60,62,70,43.4,30,0.092510361,59,66,0.001200784,0.01298,0.000333333,38.94
Protonated Zeolite,H-MOR,100,0,N/A,N/A,6.45,347,0.62,N/A,N/A,N/A,N/A,1,210,3.5,0.285714286,Biphasic ,Water,MIBK,5,2.641666667,165,60,48,81,38.88,30,0.092510361,31,72,0.000688277,0.00744,0.000165017,45.09
Protonated Zeolite,H-MOR,10,0,N/A,528,6.45,347,0.59,N/A,N/A,N/A,1200,0.143,30,0.5,0.286,Biphasic ,Water,MIBK,5,2.641666667,175,60,85,70.58823529,60,60,0.092510361,85,80,0.001048451,0.011333333,0.000216667,52.31
hierarchical Zeolite,SAPO-44,N/A,0,N/A,369,N/A,N/A,0.38,N/A,N/A,N/A,1200,0.143,30,0.5,0.286,Biphasic ,Water,MIBK,5,2.641666667,175,60,87,86.20689655,75,60,0.092510361,87,86.20689655,0.00115638,0.0125,#VALUE!,#VALUE!
hierarchical Zeolite,SAPO-5,N/A,0,N/A,309,N/A,N/A,0.73,N/A,N/A,N/A,800,0.143,30,0.5,0.286,Biphasic ,Water,MIBK,5,2.641666667,175,60,90,33.33333333,30,60,0.092510361,90,33.33333333,0.000462552,0.005,#VALUE!,#VALUE!
Protonated Zeolite,H-USY,4.5,0,0.298245614,886,7.35,3953,0.74,0.408,0.315,0.093,1560,0.1,14.25,0.75,0.133333333,Biphasic ,Water,GBL,4,4.298,150,50,99.8,69.33867735,69.2,50,0.292137983,99.8,69.33867735,0.00404319,0.01384,0.00030303,45.67
Protonated Zeolite,H-USY,17.8,0,0.333333333,928,7.35,3953,0.74,0.545,0.273,0.272,590,0.1,14.25,0.75,0.133333333,Biphasic ,Water,GBL,4,4.298,150,50,98.8,39.57489879,39.1,50,0.292137983,98.8,39.57489879,0.002284519,0.00782,8.87E-05,88.21
Protonated Zeolite,H-USY,51.3,0,0.136363636,875,7.35,3953,0.74,0.543,0.246,0.297,280,0.1,14.25,0.75,0.133333333,Biphasic ,Water,GBL,4,4.298,150,50,98.5,21.72588832,21.4,50,0.292137983,98.5,21.72588832,0.001250351,0.00428,3.19E-05,134.31
Protonated Zeolite,H-USY,51.3,0,0.136363636,875,7.35,3953,0.74,0.543,0.246,0.297,280,0.1,14.25,0.75,0.133333333,Biphasic ,Water,GVL,4,4.61,150,50,98.5,12.48730964,12.3,50,0.292137983,98.5,12.48730964,0.000718659,0.00246,3.19E-05,77.19
Protonated Zeolite,H-USY,51.3,0,0.136363636,875,7.35,3953,0.74,0.543,0.246,0.297,280,0.1,14.25,0.75,0.133333333,Biphasic ,Water,"1,4-dioxane",4,0.73,150,50,97,49.58762887,48.1,50,0.292137983,97,49.58762887,0.002810367,0.00962,3.19E-05,301.88
Protonated Zeolite,H-USY,51.3,0,0.136363636,875,7.35,3953,0.74,0.543,0.246,0.297,280,0.1,14.25,0.75,0.133333333,Biphasic ,Water,Tetramethylene sulfone,4,3.85,150,50,98.8,32.38866397,32,50,0.292137983,98.8,32.38866397,0.001869683,0.0064,3.19E-05,200.83
Protonated Zeolite,H-USY,51.3,0,0.136363636,875,7.35,3953,0.74,0.543,0.246,0.297,280,0.1,14.25,0.75,0.133333333,Single Phase,Water,N/A,0,1.85,150,50,36.3,39.39393939,14.3,50,0.292137983,36.3,39.39393939,0.000835515,0.00286,3.19E-05,89.75
Protonated Zeolite,H-BEA,12.5,0,0.607142857,525.6,5.95,856.5,0.67,N/A,0.27,N/A,450,0.1,9.5,0.5,0.2,Single Phase,N/A,IPA,100,1.66,150,60,53,12,6.36,60,0.292137983,53,12,0.000309666,0.00106,0.000123457,8.59
Protonated Zeolite,H-BEA,12.5,0,0.607142857,525.6,5.95,856.5,0.67,N/A,0.27,N/A,450,0.1,9.5,0.5,0.2,Single Phase,N/A,2-Butanol ,100,1.624,150,60,55,24,13.2,60,0.292137983,55,24,0.000642704,0.0022,0.000123457,17.82
Protonated Zeolite,H-BEA,12.5,0,0.607142857,525.6,5.95,856.5,0.67,N/A,0.27,N/A,450,0.1,9.5,0.5,0.2,Single Phase,N/A,GBL,100,4.91,150,60,61,19,11.59,60,0.292137983,61,19,0.000564313,0.001931667,0.000123457,15.65
Protonated Zeolite,H-BEA,12.5,0,0.607142857,525.6,5.95,856.5,0.67,N/A,0.27,N/A,450,0.1,9.5,0.5,0.2,Single Phase,N/A,GVL,100,5.3,150,60,47,14,6.58,60,0.292137983,47,14,0.000320378,0.001096667,0.000123457,8.88
Protonated Zeolite,H-BEA,12.5,0,0.607142857,525.6,5.95,856.5,0.67,N/A,0.27,N/A,450,0.1,9.5,0.5,0.2,Single Phase,N/A,"1,4-Dioxane",100,0.45,150,60,58,34,19.72,60,0.292137983,58,34,0.00096016,0.003286667,0.000123457,26.62
Protonated Zeolite,H-BEA,12.5,0,0.607142857,525.6,5.95,856.5,0.67,N/A,0.27,N/A,450,0.1,9.5,0.5,0.2,Single Phase,N/A,Actone,100,2.88,150,60,57,8.7,4.959,60,0.292137983,57,8.7,0.000241452,0.0008265,0.000123457,6.69
Protonated Zeolite,H-BEA,12.5,0,0.607142857,525.6,5.95,856.5,0.67,N/A,0.27,N/A,450,0.1,9.5,0.5,0.2,Single Phase,N/A,NMP,100,4.17,150,60,42,69,28.98,60,0.292137983,42,69,0.001411026,0.00483,0.000123457,39.12
Protonated Zeolite,H-BEA,12.5,0,0.607142857,525.6,5.95,856.5,0.67,N/A,0.27,N/A,450,0.1,9.5,0.5,0.2,Single Phase,N/A,DMA,100,3.7,150,60,74.6,62.06434316,46.3,60,0.292137983,74.6,62.06434316,0.002254331,0.007716667,0.000123457,62.51
Protonated Zeolite,H-BEA,12.5,0,0.607142857,525.6,5.95,856.5,0.67,N/A,0.27,N/A,450,0.1,9.5,0.5,0.2,Single Phase,N/A,DMI,100,4.07,150,60,95.44,6.852472758,6.54,60,0.292137983,95.44,6.852472758,0.00031843,0.00109,0.000123457,8.83
Protonated Zeolite,H-MOR,12,0,5.5,420,6.45,347,0.59,N/A,N/A,N/A,1100,4,300,20,0.2,Single Phase,Water,N/A,0,1.85,135,400,1,62,0.62,60,0.370041445,1,62,3.82E-05,0.000103333,0.005128205,0.02
Protonated Zeolite,H-ZSM-5,59,0,1.123076923,450.4,4.7,511,0.55,0.224,0.157,0.067,238,0.25,14.25,0.75,0.333333333,Single Phase,N/A,GBL,100,4.91,150,60,85.5,27.25146199,23.3,60,0.292137983,85.5,27.25146199,0.001134469,0.003883333,6.94E-05,55.92
Protonated Zeolite,ZSM-5 (modified) *,54,0,0.574468085,590.3,4.7,511,0.55,0.324,0.168,0.156,340,0.25,14.25,0.75,0.333333333,Single Phase,N/A,GBL,100,4.91,150,60,99.2,28.3266129,28.1,60,0.292137983,99.2,28.3266129,0.00136818,0.004683333,7.58E-05,61.82
Protonated Zeolite,H-ZSM-5,103,0,3.142857143,467.1,4.7,511,0.55,0.224,0.165,0.059,133,0.25,14.25,0.75,0.333333333,Single Phase,N/A,GBL,100,4.91,150,60,84.3,3.914590747,3.3,60,0.292137983,84.3,3.914590747,0.000160676,0.00055,4.01E-05,13.73
Protonated Zeolite,ZSM-5 (modified) *,93,0,1.142857143,510.5,4.7,511,0.55,0.27,0.16,0.11,120,0.25,14.25,0.75,0.333333333,Single Phase,N/A,GBL,100,4.91,150,60,99.5,34.47236181,34.3,60,0.292137983,99.5,34.47236181,0.001670055,0.005716667,4.43E-05,128.97
Protonated Zeolite,H-BEA,19,0,N/A,700,5.95,856.5,0.67,N/A,N/A,N/A,796,0.15,10,1,0.15,Biphasic ,Water,MIBK,5,2.641666667,165,60,94,48,45.12,35,0.555062167,62,50,0.004916265,0.008857143,0.000125,70.86
Protonated Zeolite,H-MOR,10,0,N/A,490,6.45,347,0.59,N/A,N/A,N/A,1380,0.15,10,1,0.15,Biphasic ,Water,MIBK,5,2.641666667,165,60,79,49,38.71,45,0.555062167,61,52,0.003912572,0.007048889,0.000227273,31.02
Protonated Zeolite,H-ZSM-5,23,0,N/A,350,4.7,511,0.55,N/A,N/A,N/A,570,0.15,10,1,0.15,Biphasic ,Water,MIBK,5,2.641666667,165,60,70,40,28,50,0.555062167,58,41,0.002639876,0.004756,0.000104167,45.66
Protonated Zeolite,KL,3.51,0.148,N/A,212.1,N/A,N/A,0.71,N/A,0.092,N/A,80,0.05,5,0.5,0.1,Single Phase,[BMIM]Br,N/A,0,18.3,120,30,5,20,1,30,0.555062167,5,20,0.000185021,0.000333333,0.000184775,1.8
Protonated Zeolite,KL (modified) *,5.94,0.0594,0.047619048,334.9,N/A,N/A,0.71,N/A,0.145,N/A,1320,0.05,5,0.5,0.1,Single Phase,[BMIM]Br,N/A,0,18.3,120,30,100,99.1,99.1,30,0.555062167,100,99.1,0.018335554,0.033033333,0.000120077,275.1
Protonated Zeolite,KL (modified) *,5.67,0.0567,0.183823529,348,N/A,N/A,0.71,N/A,0.153,N/A,1510,0.05,5,0.5,0.1,Single Phase,[BMIM]Br,N/A,0,18.3,120,30,99,81.81818182,81,30,0.555062167,99,81.81818182,0.014986679,0.027,0.000124938,216.11
